"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2021-07-07","99.3","-1.2","5.52","deGrom, Jacob",553882,594798,,"foul",,,,,1,,"R","L","R","NYM","MIL","S",,,2,2,2021,"-0.67","1.12",-0.7699269906212314,3.3905184900788563,,,,1,7,"Top",,,,,,,2.770421848805275,-144.64167473796238,-3.0772699731675277,-10.034362417865545,34.291453958064544,-15.95707893817557,3.319,1.513,231,"77.5",47,"100.1",2222,"6.7",633395,621512,642086,643446,641645,596019,641856,607043,624424,"53.76",,,,,,,,48,5,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Infield shift","Standard",216,"0","0",,,,,"0","88.0",-1,1,0.183,0.817,33,29,33,29,3,2,6,2,,0,"1.19","0.67","-0.67","33.7",,,,,
"SL","2021-07-07","92","-1.1","5.52","deGrom, Jacob",553882,594798,,"swinging_strike",,,,,14,,"R","L","R","NYM","MIL","S",,,2,1,2021,"0.31","0.37",1.0508734593648583,1.7559361380792602,,,,1,7,"Top",,,,,,,4.82529261051162,-133.98157309026988,-4.5792987431052214,2.821462031775487,27.361552962026504,-26.96905069175704,3.319,1.513,,,,"93",2423,"6.7",633395,621512,642086,643446,641645,596019,641856,607043,624424,"53.78",,,,,,,,48,4,"Slider",1,2,2,1,2,1,2,1,"Infield shift","Standard",189,"0.004","-0.084",,,,,"0.084",,-1,1,0.179,0.821,33,29,33,29,3,2,6,2,,0,"2.31","-0.31","0.31","37.1",,,,,
"FF","2021-07-07","98.2","-1.16","5.47","deGrom, Jacob",553882,594798,,"called_strike",,,,,3,,"R","L","R","NYM","MIL","S",,,2,0,2021,"-0.83","1.06",0.6424034748155956,2.9320939290263706,,,,1,7,"Top",,,,,,,6.890834328170534,-142.82741794778684,-3.865253757947293,-12.995372253209641,33.97268892301598,-17.001858308401218,3.20001448040153,1.43379588049286,,,,"99.1",2222,"6.9",633395,621512,642086,643446,641645,596019,641856,607043,624424,"53.61",,,,,,,,48,3,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Infield shift","Standard",216,"0.003","-0.07",,,,,"0.07",,-1,1,0.176,0.8240000000000001,33,29,33,29,3,2,6,2,,0,"1.31","0.83","-0.83","34.5",,,,,
"SL","2021-07-07","90.2","-1.26","5.55","deGrom, Jacob",553882,594798,,"ball",,,,,14,,"R","L","R","NYM","MIL","B",,,1,0,2021,"0.24","0.43",1.5337445292974614,1.0322509202960568,,,,1,7,"Top",,,,,,,6.485965701721701,-131.21172730483534,-6.243126224580622,1.4531423700072768,27.14239639483936,-26.108869764004233,3.32000000000472,1.51258450484983,,,,"91",2336,"6.7",633395,621512,642086,643446,641645,596019,641856,607043,624424,"53.79",,,,,,,,48,2,"Slider",1,2,2,1,2,1,2,1,"Infield shift","Standard",204,"-0.003","0.079",,,,,"-0.079",,-1,1,0.179,0.821,33,29,33,29,3,2,6,2,,0,"2.37","-0.24","0.24","31.8",,,,,
"CH","2021-07-07","92.1","-1.41","5.47","deGrom, Jacob",553882,594798,,"ball",,,,,13,,"R","L","R","NYM","MIL","B",,,0,0,2021,"-0.93","1.26",-1.6182047632874794,1.281093675207604,,,,1,7,"Top",,,,,,,1.4893496257379013,-133.90136173485104,-7.524598773499705,-11.414849937004307,31.120528182867854,-15.576988895491661,3.2132793870519,1.51000000001378,,,,"92.4",2074,"6.7",633395,621512,642086,643446,641645,596019,641856,607043,624424,"53.78",,,,,,,,48,1,"Changeup",1,2,2,1,2,1,2,1,"Infield shift","Standard",219,"-0.002","0.041",,,,,"-0.041",,-1,1,0.181,0.819,33,29,33,29,3,2,6,2,,0,"1.45","0.93","-0.93","34.4",,,,,
"CH","2021-07-07","92.2","-1.27","5.5","deGrom, Jacob",642715,594798,"field_out","hit_into_play",,,,,9,"Willy Adames grounds out, third baseman Luis Guillorme to first baseman Dominic Smith.","R","R","R","NYM","MIL","X",5,"ground_ball",0,0,2021,"-1.02","1.27",0.5147861365704283,1.8333985693070298,,,,0,7,"Top",105.34,161.21,,,,,6.808126762416541,-134.13610399594629,-6.349407567290604,-13.727122490126868,26.742131658251026,-15.642220013116601,3.371,1.535,2,"85",-40,"93.2",2280,"6.7",633395,621512,642086,643446,641645,596019,641856,607043,624424,"53.76",0.071,0.095,"0",1,0,0,2,47,1,"Changeup",1,2,2,1,2,1,2,1,"Infield shift","Standard",219,"0.016","-0.269",,,,0.073,"0.269","88.0",-1,1,0.165,0.835,33,25,33,26,3,2,6,2,,0,"1.4","1.02","1.02","36.3",,,,,
"FF","2021-07-07","99.2","-0.96","5.39","deGrom, Jacob",592885,594798,"grounded_into_double_play","hit_into_play",,,,,5,"Christian Yelich grounds into a double play, second baseman Jeff McNeil to shortstop Francisco Lindor to first baseman Pete Alonso. Luis Urias out at 2nd. Christian Yelich out at 1st.","R","L","R","NYM","MIL","X",4,"ground_ball",0,0,2021,"-0.88","1.35",-0.034637907951058255,2.0337323286543167,,,649966,1,6,"Top",147.03,149.56,,,,,4.641206788226047,-144.2510772259853,-6.944043016987232,-13.41721346341922,35.314495067393885,-11.956424543105104,3.17,1.52,25,"112",-4,"99.9",2426,"6.9",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.65",0.463,0.417,"0",1,0,0,4,40,1,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Infield shift","Standard",216,"0.054","-0.326",,,,0.483,"0.326","112.0",-1,1,0.254,0.746,33,29,33,30,3,2,6,2,,0,"0.98","0.88","-0.88","35.0",,,,,
"SL","2021-07-07","95","-1.01","5.45","deGrom, Jacob",649966,594798,"single","hit_into_play",,,,,6,"Luis Urias singles on a fly ball to center fielder Brandon Nimmo.","R","R","R","NYM","MIL","X",8,"fly_ball",3,2,2021,"0.31","0.6",0.7566216319078829,2.171678995609242,,,,1,6,"Top",109.04,100.46,,,,,3.971436036431708,-138.38396852640844,-4.3913163601296406,3.2066689776299238,27.14942112540292,-23.728564399493287,3.17,1.52,251,"74.9",25,"96.5",2524,"6.8",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.66",0.773,0.723,"0.9",1,1,0,4,39,7,"Slider",1,2,2,1,2,1,2,1,"Strategic","Standard",186,"-0.02","0.338",,,,0.865,"-0.338","88.0",-1,1,0.274,0.726,33,24,33,24,3,2,6,2,,0,"1.9","-0.31","-0.31","37.5",,,,,
"FF","2021-07-07","100.1","-1.02","5.43","deGrom, Jacob",649966,594798,,"foul",,,,,11,,"R","R","R","NYM","MIL","S",,,3,2,2021,"-0.61","1.15",-0.5636855326349975,3.5591682057606056,,,,1,6,"Top",,,,,,,2.7326757982495,-145.87221726054278,-2.559120644755567,-9.342872943522629,32.54277661680705,-15.339919468619806,3.17,1.52,236,"82",23,"101.4",2273,"6.8",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.71",,,,,,,,39,6,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",218,"0","0",,,,,"0","88.0",-1,1,0.274,0.726,33,24,33,24,3,2,6,2,,0,"1.11","0.61","0.61","35.8",,,,,
"FF","2021-07-07","99","-0.91","5.42","deGrom, Jacob",649966,594798,,"foul_tip",,,,,5,,"R","R","R","NYM","MIL","S",,,3,1,2021,"-0.71","1.13",0.07606002798786171,2.3715270792016474,,,,1,6,"Top",,,,,,,4.378805900973368,-144.2709987875167,-5.649516972543406,-10.829110394635716,29.04964436594742,-15.323484109775826,3.17,1.52,,,,"100.6",2251,"6.8",633395,621512,624413,643446,641645,596019,642086,607043,624424,"53.73",,,,,,,,39,5,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",214,"0.006","-0.103",,,,,"0.103",,-1,1,0.268,0.732,33,24,33,24,3,2,6,2,,0,"1.17","0.71","0.71","35.6",,,,,
