Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1782498714756,1,11.0000004b,Drive,Loading,pitch.0,1045689,-11.1022,8.3616,84.713,55.5581,-153.5621,22.1998,0.1897,0.0686
1782498714756,1,12.00000015,Lower Delivery,Loading,pitch.0,1044415,0.2086,1.0429,0.5307,-0.9044,-2.6533,-2.0512,0.0,0.0
1782498714756,1,12.00000018,Upper Delivery,Loading,pitch.0,1045730,-0.0191,-0.0233,-0.0721,-0.0884,-0.0304,-0.0012,0.0,0.0
1782498714756,1,Pitching Mound.Drive,,Loading,pitch.0,1045689,-11.1022,8.3616,84.713,55.5581,-153.5621,22.1998,0.1897,0.0686
1782498714756,1,Pitching Mound.Parent,,Loading,pitch.0,1043031,-10.9127,9.3812,85.1716,54.7703,-156.2458,20.07,0.1887,0.0707
1782498714757,1,11.0000004b,Drive,Loading,pitch.0,1045690,-11.1288,8.3911,84.7961,55.5664,-154.0332,22.2695,0.1901,0.0686
1782498714757,1,12.00000015,Lower Delivery,Loading,pitch.0,1044416,0.2613,1.0076,0.7494,-1.0548,-2.6533,-2.0634,0.0,0.0
1782498714757,1,12.00000018,Upper Delivery,Loading,pitch.0,1045731,-0.017,-0.0228,-0.0991,-0.0884,-0.0304,-0.0012,0.0,0.0
1782498714757,1,Pitching Mound.Drive,,Loading,pitch.0,1045690,-11.1288,8.3911,84.7961,55.5664,-154.0332,22.2695,0.1901,0.0686
1782498714757,1,Pitching Mound.Parent,,Loading,pitch.0,1043032,-10.8845,9.3759,85.4463,54.7118,-156.7169,20.1103,0.1887,0.0714
1782498714758,1,11.0000004b,Drive,Loading,pitch.0,1045691,-11.1703,8.3927,84.8324,55.6462,-154.065,22.3445,0.1901,0.0687
1782498714758,1,12.00000015,Lower Delivery,Loading,pitch.0,1044417,0.2728,1.0397,0.7316,-0.9751,-2.5398,-2.0528,0.0,0.0
1782498714758,1,12.00000018,Upper Delivery,Loading,pitch.0,1045732,-0.0169,-0.0228,-0.1005,-0.0884,-0.0304,-0.0012,0.0,0.0
