PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId,CustomTags,CustomLabel,TagSet
1,2026-06-24,14:20:56.39,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,75.19969,0.278071476,-1.868651705,1975.814005,182.6224594,12:00,5.90959,0.81326,,-36.5203,15.40948,0.70815,3.12985,-0.8989,68.03824,-6.475629936,-1.737225393,0.518656263,-0.95639,7.9319,-0.62774,50,5.90669,3.5372,-109.11704,-0.64699,-1.1386,21.45107,-22.73099,b6193ac6-ea9a-47e9-8b81-674cc41800b1,09a40e25-d9f5-4ff6-8f16-977d86eae17e,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,30.0817283,1709.694203,0.8653113091,,82037f00-1923-4c6b-956f-357c5f7dd283,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
2,2026-06-24,14:21:15.68,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,76.23168,0.4299312125,-1.714967305,1933.531485,190.2762391,12:15,5.79131,0.73875,4.60821,-34.73209,16.16681,2.94013,3.30592,-0.64723,68.8578,-5.97890963,-1.170828905,0.5134824589,-2.06079,8.22395,-0.56499,50,5.80471,3.21248,-110.58368,-0.33314,-2.51927,22.06914,-22.12042,75f22e0f-4205-4826-a7be-cbe71a867c80,09a40e25-d9f5-4ff6-8f16-977d86eae17e,73.4055,Pitching,23360159,,,,,,,,,,,,,,,,,,,,34.37635849,1595.833533,0.825346546,,74546fd3-5a10-4aab-b1ca-0619a78fb7a1,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
3,2026-06-24,14:21:30.82,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,76.76987,0.3361051449,-0.2788223232,2025.13713,191.7560301,12:30,5.78803,0.8018,,-35.52527,16.92887,3.53218,3.15302,0.82619,68.74736,-6.131985612,0.3666258901,0.5212682941,-1.86218,8.36097,-0.77238,50,5.78712,0.40736,-111.13386,-0.69034,-2.28177,23.67689,-21.9292,03df9c9b-db6e-4bc5-8ba0-c065613d5897,09a40e25-d9f5-4ff6-8f16-977d86eae17e,,Pitching,23360159,,,,,,,,,,,,,,,,,,,208.1933142,31.1739303,1732.707075,0.855599875,1:00,a435d042-5db9-424a-8ba1-9594c695a4bd,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
4,2026-06-24,14:21:52.36,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,76.10845,-0.2272437814,-1.892296974,2064.572314,182.2601861,12:00,5.84309,0.7006,5.12034,-39.45085,10.64752,0.42211,2.34138,-1.04706,69.01141,-7.55336248,-1.813481398,0.5094284892,-0.82178,5.67805,-0.52322,50,5.79202,3.63738,-110.49159,-1.66578,-1.00237,22.13412,-25.24819,a525eedd-0974-4250-a010-91444e0864fb,09a40e25-d9f5-4ff6-8f16-977d86eae17e,73.98966,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,ac36ccda-ab9f-45dd-a7de-b485df07e2ab,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
5,2026-06-24,14:22:09.43,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,77.16681,1.005993281,-1.128384355,1976.267788,206.3980205,1:00,5.73701,1.04941,4.81427,-34.15635,15.36505,7.64873,3.84376,0.61791,69.26985,-5.344537287,0.2971267909,0.506486509,-4.36359,7.68039,-0.94378,50,5.80854,1.95389,-111.94312,0.84519,-5.43549,23.66467,-22.607,164c685c-ce6f-4964-9b0d-7b4f5ddb7381,09a40e25-d9f5-4ff6-8f16-977d86eae17e,74.41943,Pitching,23360159,,,,,,,,,,,,,,,,,,,,28.84860504,1731.008379,0.8758976845,,d2666389-f842-45f1-98a0-d168a924f708,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
6,2026-06-24,14:22:25.26,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,77.08887,-1.446156197,-1.376661899,1944.687269,199.1596347,12:45,5.79748,0.52456,5.32585,-32.50716,16.22802,5.65114,1.73105,-0.29638,69.44965,-7.521356148,-0.3133367245,0.5024498309,-3.4643,9.10635,-0.40419,50,5.64414,2.51742,-111.89493,-3.81292,-4.30537,23.90968,-20.85683,30638ad6-cfae-4134-9af3-2ff7b96371fa,09a40e25-d9f5-4ff6-8f16-977d86eae17e,75.01732,Pitching,23360159,,,,,,,,,,,,,,,,,,,,21.78766114,1805.770052,0.9285657808,,b932f099-70c4-4e07-8c12-1755d148c063,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
7,2026-06-24,14:22:43.75,"Allison, Chris",1000542939,Right,,,,,,Slider,Live,,69.52127,1.168929171,-0.8247887755,2068.241454,92.75001136,9:00,5.75364,0.86855,4.79996,-60.73435,0.25466,-6.32128,1.80016,-0.43968,63.19648,-10.03285847,-2.001401905,0.5620787837,3.02337,-0.2517,-0.78124,50,5.81933,1.63944,-100.86093,0.25752,3.06021,19.06783,-32.42882,86bfeaa0-3e3d-4592-9e43-27b201aef2e8,09a40e25-d9f5-4ff6-8f16-977d86eae17e,67.059,Pitching,23360159,,,,,,,,,,,,,,,,,,,,69.74007652,716.1897081,0.3462795443,,eb2af998-2d80-4a78-ac21-3e18aa8ad6e4,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
8,2026-06-24,14:22:59.36,"Allison, Chris",1000542939,Right,,,,,,Slider,Live,,67.37668,5.60799593,2.250668729,2156.582944,78.01089938,8:30,5.66213,0.9389,4.03108,-69.83885,-2.2229,-9.98066,5.25195,2.27078,60.31436,-7.171156076,0.4169516938,0.5918286675,5.8098,-2.98854,-1.18268,50,6.22484,-3.50157,-97.09506,7.341,5.44666,17.74755,-34.97579,840e8911-38e3-4022-8240-b0ccf5ccc697,09a40e25-d9f5-4ff6-8f16-977d86eae17e,63.68809,Pitching,23360159,,,,,,,,,,,,,,,,,,,61.76343315,56.79544612,1181.008931,0.547629728,8:00,6823ca68-53f2-40d5-87a4-433d1f9fc0fa,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
9,2026-06-24,14:23:22.70,"Allison, Chris",1000542939,Right,,,,,,Fastball,Live,,76.14604,0.01604399903,-0.9383594146,1993.512367,197.5034472,12:30,5.84566,0.58965,5.30825,-38.11559,11.60263,3.67264,2.68442,0.01495,68.88415,-7.101201779,-0.2491258411,0.5074920223,-2.24913,6.14694,-0.50723,50,5.82021,1.70077,-110.61554,-1.12095,-2.74497,22.48643,-24.67196,51e7c4a6-ff6e-47f1-8489-83c88fd1d806,09a40e25-d9f5-4ff6-8f16-977d86eae17e,74.27198,Pitching,23360159,,,,,,,,,,,,,,,,,,,,32.2649491,1685.691266,0.845588567,,17bd94b2-a2cd-4a93-9d7f-9e1bf5936d67,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
10,2026-06-24,14:23:47.68,"Allison, Chris",1000542939,Right,,,,,,ChangeUp,Live,,73.49488,0.4864121477,-1.77195438,1478.843516,160.5784124,11:15,5.63884,0.80885,4.99954,-47.50789,6.43602,-2.28587,2.13922,-1.05475,66.80498,-8.306879404,-2.197667608,0.528618853,0.63989,3.22047,-0.63693,50,5.64828,3.37033,-106.68354,-0.54727,0.72807,20.53597,-28.50981,792e361f-538c-4f58-893d-a2aafd8876df,09a40e25-d9f5-4ff6-8f16-977d86eae17e,71.30362,Pitching,23360159,,,,,,,,,,,,,,,,,,,,60.22366153,734.4166955,0.4966155562,,bf7010a0-f02d-4c5e-b0b4-e5a9445994df,ff5bca7c-57a2-4930-b0f2-face6b46ce1f,,,Pitching Bullpen
