PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId,CustomTags,CustomLabel,TagSet
1,2026-06-27,09:25:07.12,"Moorhouse, Richard",1000582371,Right,,,,,,Sinker,Live,,69.19261,-1.016585668,-0.1962813077,1716.485482,208.5065811,1:00,6.09707,1.51002,4.71624,-41.94433,19.19441,10.45033,1.637,2.19464,63.30955,-8.703006177,1.736047015,0.56276834,-5.47344,10.24806,-1.49923,50,5.95826,0.02926,-100.47631,-3.04701,-5.55864,17.27736,-21.76648,c566505a-d963-4f00-84c8-cc9adfd29fa7,19aede06-c771-4802-9495-1ffc7d8af24a,66.97683,Pitching,23360159,,,,,,,,,,,,,,,,,,,,29.52604625,1493.568523,0.8701317538,,207574d2-57fb-4a50-8dfa-d3608e61176d,e0f7e1f4-1297-4a69-85f8-2d9d8353c09b,,,Pitching Bullpen
2,2026-06-27,09:25:31.07,"Moorhouse, Richard",1000582371,Right,,,,,,Sinker,Live,,72.24412,-1.669328386,-2.426437227,1815.261863,214.6450608,1:15,5.91634,1.37094,4.28828,-40.0676,17.08279,11.8329,0.97906,0.03515,65.98087,-8.953976316,-0.2553763295,0.5441028431,-6.76328,9.21843,-1.11937,50,5.69592,4.04399,-104.70906,-4.38516,-7.45802,18.79496,-22.00868,1231bf56-6524-4f5c-ab76-7b3301c4a827,19aede06-c771-4802-9495-1ffc7d8af24a,69.27448,Pitching,23360159,,,,,,,,,,,,,,,,,,,,29.99704941,1572.109627,0.8660511514,,a25204e5-4e07-402f-a8f9-edfa91363c34,e0f7e1f4-1297-4a69-85f8-2d9d8353c09b,,,Pitching Bullpen
3,2026-06-27,09:25:55.47,"Moorhouse, Richard",1000582371,Right,,,,,,Sinker,Live,,73.649,-2.64346751,-1.867218504,1802.044114,184.1014607,12:15,5.85236,1.04888,5.1573,-27.32319,26.02589,1.86822,1.08441,-0.55341,66.97425,-7.697879384,-1.518777892,0.5256962245,-1.5546,14.51589,-0.87614,50,5.58522,3.42728,-106.84879,-5.75575,-1.78013,20.0435,-15.55232,2f8ab8c8-149a-4a36-96f4-683d0e4188d4,19aede06-c771-4802-9495-1ffc7d8af24a,71.70004,Pitching,23360159,,,,,,,,,,,,,,,,,,,,28.2433415,1587.503082,0.880945738,,c5dff8ba-8146-49ea-9802-5a59e6eb14bd,e0f7e1f4-1297-4a69-85f8-2d9d8353c09b,,,Pitching Bullpen
4,2026-06-27,09:26:16.75,"Moorhouse, Richard",1000582371,Right,,,,,,Sinker,Live,,72.6333,3.791876796,-0.1491738503,1825.474689,185.1682898,12:15,5.83963,1.00604,,-34.925,23.80559,2.15294,6.59675,1.04138,64.39863,-2.609158573,0.2458698061,0.551573757,-1.13565,10.66556,-0.99087,50,6.24806,0.19773,-104.91059,5.72982,-1.23581,21.65207,-20.56782,3275c5b7-49d2-43b0-8d3c-79f8a0c20938,19aede06-c771-4802-9495-1ffc7d8af24a,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,27.62299243,1617.402685,0.8860175901,,e5604797-c9da-47fe-a6cc-8640dd83f081,e0f7e1f4-1297-4a69-85f8-2d9d8353c09b,,,Pitching Bullpen
5,2026-06-27,09:26:36.55,"Moorhouse, Richard",1000582371,Right,,,,,,Sinker,Live,,74.20006,-2.040308583,-1.968209666,1951.529732,216.0217274,1:15,5.66792,1.19838,5.21106,-36.08238,16.86254,12.28176,0.74076,0.37057,66.94348,-8.753630287,0.3388500457,0.5237011944,-7.16531,9.61421,-1.02559,50,5.45322,3.33298,-107.60531,-4.90777,-8.2283,22.25537,-21.13355,25a3bca4-1323-4564-96a9-7c98c50e247f,19aede06-c771-4802-9495-1ffc7d8af24a,71.97318,Pitching,23360159,,,,,,,,,,,,,,,,,,,,30.31306929,1684.717454,0.8632804443,,ffeed391-0767-4bff-a759-57d60310a301,e0f7e1f4-1297-4a69-85f8-2d9d8353c09b,,,Pitching Bullpen
6,2026-06-27,09:27:03.80,"Moorhouse, Richard",1000582371,Right,,,,,,Fastball,Live,,72.49485,0.04554855543,-0.2875550143,1906.151113,194.163372,12:30,5.78939,1.09673,5.23212,-37.56404,17.06815,4.31885,2.70186,1.18637,66.02658,-6.934734109,0.5189222786,0.5319804786,-2.36577,8.99511,-1.07344,50,5.76619,0.40228,-105.37043,-1.01695,-2.63967,19.16949,-22.13749,0a0e54b8-e73b-44ab-b207-d8f9de3f2bcd,19aede06-c771-4802-9495-1ffc7d8af24a,70.85305,Pitching,23360159,,,,,,,,,,,,,,,,,,,,41.53005723,1426.959989,0.7486080089,,c0ecb59e-b2a8-47ad-9a1e-f504a57fa8b8,e0f7e1f4-1297-4a69-85f8-2d9d8353c09b,,,Pitching Bullpen
7,2026-06-27,09:27:40.42,"Moorhouse, Richard",1000582371,Right,,,,,,Fastball,Live,,73.65931,-3.781016152,-3.360528632,2022.795779,199.1589619,12:45,5.68191,1.15053,5.59408,,,,,,,,,,-4.41002,11.19409,-0.86687,50,5.33604,6.08387,-106.83793,-7.99892,-5.14044,16.94415,-19.12592,d0a028d4-52f4-403b-bafe-fbc4f4a417ae,19aede06-c771-4802-9495-1ffc7d8af24a,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,29.20794613,1765.606215,0.8728544095,,470362e4-3c52-490e-9b31-6ff577d85577,e0f7e1f4-1297-4a69-85f8-2d9d8353c09b,,,Pitching Bullpen
8,2026-06-27,09:28:07.94,"Moorhouse, Richard",1000582371,Right,,,,,,Cutter,Live,,70.2575,1.168617581,-2.289998449,1770.173041,189.6300867,12:15,5.92493,1.04255,5.29473,-39.52362,18.04954,3.07299,3.72938,-0.85228,64.5204,-6.152657696,-1.719319412,0.5461116065,-2.23615,9.20763,-0.83666,50,6.00272,3.99628,-102.11344,0.9636,-2.36887,16.29362,-22.41993,2f71b256-3244-4fc4-b926-6853a7308b96,19aede06-c771-4802-9495-1ffc7d8af24a,69.01966,Pitching,23360159,,,,,,,,,,,,,,,,,,,,35.67049274,1438.060153,0.8123839422,,636a2676-1edd-4511-943b-0effe355d55d,e0f7e1f4-1297-4a69-85f8-2d9d8353c09b,,,Pitching Bullpen
9,2026-06-27,09:28:29.54,"Moorhouse, Richard",1000582371,Right,,,,,,Cutter,Live,,69.20654,1.905830204,-0.7956234668,1880.528743,201.6025866,12:45,5.78971,1.30399,4.39174,-53.74419,7.76118,3.09274,3.13104,0.80222,63.56446,-7.889055956,-0.229075819,0.5644531633,-1.79994,3.4443,-1.22214,50,5.94149,1.29726,-100.46238,1.64247,-1.84153,16.10796,-28.65015,87ead814-b5ef-448c-8f6c-a1bdb967f2b6,19aede06-c771-4802-9495-1ffc7d8af24a,66.77691,Pitching,23360159,,,,,,,,,,,,,,,,,,,181.0249629,58.73143775,976.0888176,0.5190501987,12:00,aced3759-69cd-4b7a-930c-310a977adcc2,e0f7e1f4-1297-4a69-85f8-2d9d8353c09b,,,Pitching Bullpen
10,2026-06-27,09:28:57.43,"Moorhouse, Richard",1000582371,Right,,,,,,Cutter,Live,,71.31854,-0.1848232617,-1.631269821,1813.284257,193.6087324,12:30,5.71449,1.23063,5.24795,-36.66933,19.52021,4.73872,2.48499,0.0924,65.26856,-6.980935939,-0.7488583749,0.5395095525,-2.96341,10.34751,-1.08455,50,5.67084,2.8154,-103.66485,-1.39349,-3.2174,17.6978,-20.93969,5aa0e153-2f33-4b8c-b723-2764b7851afe,19aede06-c771-4802-9495-1ffc7d8af24a,69.86427,Pitching,23360159,,,,,,,,,,,,,,,,,,,,52.44768851,1105.170485,0.609485513,,136f180e-2deb-48c1-a0b5-a55f9dedf6b8,e0f7e1f4-1297-4a69-85f8-2d9d8353c09b,,,Pitching Bullpen
