Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1779296204147,1,11.0000004b,Drive,Loading,pitch.0,54519,0.2284,8.2192,76.6741,49.3976,-77.8522,8.3665,0.112,0.0711
1779296204147,1,Pitching Mound.Drive,,Loading,pitch.0,54519,0.2284,8.2192,76.6741,49.3976,-77.8522,8.3665,0.112,0.0711
1779296204148,1,11.0000004b,Drive,Loading,pitch.0,54520,0.2577,8.1763,76.2707,49.1893,-77.2996,8.2858,0.1118,0.0711
1779296204148,1,12.00000015,Lower Delivery,Loading,pitch.0,54553,-1.138,1.2579,2.2044,0.1036,0.3659,-0.0263,0.0,0.0
1779296204148,1,Pitching Mound.Drive,,Loading,pitch.0,54520,0.2577,8.1763,76.2707,49.1893,-77.2996,8.2858,0.1118,0.0711
1779296204149,1,11.0000004b,Drive,Loading,pitch.0,54521,0.2759,8.1207,76.032,49.0146,-76.7258,8.1678,0.1113,0.0711
1779296204149,1,12.00000015,Lower Delivery,Loading,pitch.0,54554,-1.1767,1.254,2.2126,0.0817,0.3739,-0.0252,0.0,0.0
1779296204149,1,Pitching Mound.Drive,,Loading,pitch.0,54521,0.2759,8.1207,76.032,49.0146,-76.7258,8.1678,0.1113,0.0711
1779296204150,1,11.0000004b,Drive,Loading,pitch.0,54522,0.3043,8.0637,75.8319,48.8406,-76.3715,8.067,0.1111,0.071
1779296204150,1,12.00000015,Lower Delivery,Loading,pitch.0,54555,-1.193,1.2707,2.2132,0.0873,0.2628,-0.0266,0.0,0.0
1779296204150,1,Pitching Mound.Drive,,Loading,pitch.0,54522,0.3043,8.0637,75.8319,48.8406,-76.3715,8.067,0.1111,0.071
1779296204151,1,11.0000004b,Drive,Loading,pitch.0,54523,0.3153,8.0275,75.4284,48.5838,-75.7205,7.9499,0.1107,0.071
1779296204151,1,12.00000015,Lower Delivery,Loading,pitch.0,54556,-1.1434,1.2195,2.1183,0.0217,-0.0286,-0.0267,0.0,0.0
1779296204151,1,Pitching Mound.Drive,,Loading,pitch.0,54523,0.3153,8.0275,75.4284,48.5838,-75.7205,7.9499,0.1107,0.071
1779296204152,1,11.0000004b,Drive,Loading,pitch.0,54524,0.3251,7.9843,75.0781,48.3999,-75.0848,7.8301,0.1103,0.0711
1779296204152,1,12.00000015,Lower Delivery,Loading,pitch.0,54557,-1.1345,1.2021,2.0682,0.0248,-0.0077,-0.0266,0.0,0.0
1779296204152,1,Pitching Mound.Drive,,Loading,pitch.0,54524,0.3251,7.9843,75.0781,48.3999,-75.0848,7.8301,0.1103,0.0711
