Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1779472521791,1,12.00000015,Lower Delivery,Loading,pitch.0,291756,-0.0264,0.0001,0.026,-0.0882,-0.1185,-0.0254,0.0,0.0
1779472521791,1,Pitching Mound.Parent,,Loading,pitch.0,291250,-1.1082,6.6618,61.181,55.7713,-105.4129,9.6408,0.1755,0.0939
1779472521792,1,11.0000004b,Drive,Loading,pitch.0,292098,-1.0197,6.6076,61.119,55.79,-105.1435,9.6503,0.1755,0.0931
1779472521792,1,12.00000015,Lower Delivery,Loading,pitch.0,291757,-0.0275,-0.0011,0.0278,-0.0938,-0.11,-0.0253,0.0,0.0
1779472521792,1,12.00000018,Upper Delivery,Loading,pitch.0,292064,-0.0244,0.0427,-0.0294,-0.0884,-0.0304,-0.0012,0.0,0.0
1779472521792,1,Pitching Mound.Delivery,,Loading,pitch.0,291507,-0.0519,0.0416,-0.0015,-0.1627,-0.1403,-0.0254,0.0,0.0
1779472521792,1,Pitching Mound.Drive,,Loading,pitch.0,292098,-1.0197,6.6076,61.119,55.79,-105.1435,9.6503,0.1755,0.0931
1779472521792,1,Pitching Mound.Parent,,Loading,pitch.0,291251,-1.0705,6.6503,61.1157,55.6323,-105.2924,9.6243,0.1755,0.0934
1779472521793,1,11.0000004b,Drive,Loading,pitch.0,292099,-1.0096,6.6099,61.1226,55.8727,-105.2539,9.645,0.1757,0.0933
1779472521793,1,11.0000004b,Drive,Loading,pitch.0,292100,-1.0115,6.6036,61.1342,55.9161,-105.233,9.653,0.1756,0.0933
1779472521793,1,12.00000015,Lower Delivery,Loading,pitch.0,291758,-0.0211,-0.0026,0.0172,-0.0987,-0.1086,-0.0286,0.0,0.0
1779472521793,1,12.00000018,Upper Delivery,Loading,pitch.0,292065,-0.0262,0.0448,-0.0267,-0.0884,-0.0304,-0.0012,0.0,0.0
1779472521793,1,Pitching Mound.Delivery,,Loading,pitch.0,291508,-0.0474,0.0422,-0.0095,-0.1721,-0.139,-0.0315,0.0,0.0
1779472521793,1,Pitching Mound.Drive,,Loading,pitch.0,292099,-1.0096,6.6099,61.1226,55.8727,-105.2539,9.645,0.1757,0.0933
1779472521793,1,Pitching Mound.Drive,,Loading,pitch.0,292100,-1.0115,6.6036,61.1342,55.9161,-105.233,9.653,0.1756,0.0933
1779472521793,1,Pitching Mound.Parent,,Loading,pitch.0,291252,-1.0634,6.6536,61.1236,55.7091,-105.3943,9.6189,0.1757,0.0936
1779472521794,1,11.0000004b,Drive,Loading,pitch.0,292101,-0.999,6.6204,60.9803,55.8786,-105.1791,9.6775,0.176,0.0935
1779472521794,1,12.00000018,Upper Delivery,Loading,pitch.0,292066,-0.0248,0.0483,-0.0258,-0.0884,-0.0304,-0.0012,0.0,0.0
1779472521794,1,Pitching Mound.Drive,,Loading,pitch.0,292101,-0.999,6.6204,60.9803,55.8786,-105.1791,9.6775,0.176,0.0935
1779472521794,1,Pitching Mound.Parent,,Loading,pitch.0,291253,-1.0575,6.6494,61.1256,55.7437,-105.372,9.6219,0.1756,0.0936
1779472521795,1,11.0000004b,Drive,Loading,pitch.0,292102,-0.9909,6.6333,60.8501,55.8651,-105.0876,9.6615,0.1762,0.0937
1779472521795,1,12.00000015,Lower Delivery,Loading,pitch.0,291759,-0.0193,-0.002,0.0174,-0.0926,-0.1155,-0.0279,0.0,0.0
