pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-08-04,86.1,-0.82,5.38,"Ohtani, Shohei",660271,543243,,foul,,,,,13,Foul,R,L,R,LAD,STL,S,,,1,1,2025,-1.37,0.36,-0.5596657674677664,1.4792146774263446,,,,1,6,Bot,,,,,,,3.3968887769708003,-125.32862422329117,-3.711396169318928,-15.060549450177833,27.314050871982495,-27.812469423480227,3.57,1.61,2,65.6,-41,86,1794,6.4,776870,686780,575929,680977,695336,691026,676475,687363,663457,54.1,,,,,,,,42,3,Changeup,1,1,1,1,1,1,1,1,Strategic,Standard,215,-0.007,-0.064,69.7,9.2,,0.064,88.0,0,0,0.541,0.541,35,30,36,31,3,2,6,1,6,1,2.73,1.37,-1.37,43.2,28.95065561718013,-16.092528011894807,39.53599578924175,45.94937352665814,37.29643101939263
ST,2025-08-04,80,1.34,4.51,"Thomas, Alek",677950,676664,field_out,hit_into_play,,,,,11,Alek Thomas flies out to left fielder Ramón Laureano.,R,L,L,AZ,SD,X,7,fly_ball,1,2,2025,-0.69,0.88,-1.7437228127531992,2.623479239891073,,677942,,2,3,Bot,91.74,120.36,,,,,-5.511252295727546,-116.43538224642242,0.9404758771861849,-5.130707645260722,23.15602761831211,-24.618305445411675,3.31,1.44,214,76.9,51,80.1,2516,6.5,776873,666023,650333,630105,592518,593428,657656,701538,665487,54.04,0.071,0.076,0,1,0,0,3,31,4,Sweeper,3,1,3,1,1,3,3,1,Infield shade,Standard,270,-0.017,-0.208,70.3,7.3,0.103,0.208,88.0,2,2,0.746,0.746,29,25,29,25,2,1,7,1,16,1,2.7,-0.69,-0.69,20.4,8.89565511219425,1.434065270205523,22.580710545903564,51.74489540215606,35.0856715774644
CU,2025-08-04,82.1,-1.17,5.77,"Moore, Christian",695681,605288,,foul,,,,,6,Foul,R,R,R,LAA,TB,S,,,2,2,2025,0.6,-1.1,0.5645647512596605,2.240811963976041,,621493,660162,2,3,Bot,,,,,,,2.7738957860204922,-119.45532136029958,0.8054082609245641,5.1019544253505105,26.4087761293111,-43.0162663078004,3.47,1.65,1,74.3,-73,82.2,2184,6.7,776867,663743,650490,673490,691406,670764,663968,676356,666139,53.79,,,,,,,,31,5,Curveball,4,1,4,1,1,4,4,1,Standard,Standard,23,0,0,64.7,6.7,,0,88.0,3,3,0.833,0.833,32,22,32,23,2,1,10,1,6,1,4.52,-0.6,-0.6,41.7,9.54578008219839,19.184795964711334,28.01154937894479,40.042917928744586,22.1990835322581
FF,2025-08-04,95.2,-2.14,7,"McCutchen, Andrew",457705,434378,,foul,,,,,7,Foul,R,R,R,PIT,SF,S,,,3,2,2025,-0.87,1.47,-0.5012875083989948,2.062713496220539,,,,1,4,Bot,,,,,,,6.206576431822026,-138.14995611763,-10.527934704895806,-12.473910474107985,31.228805712750894,-11.187690590599287,3.48,1.61,3,73.6,-30,94.7,2415,6.2,776879,672275,646240,669477,656305,642715,671218,808982,687529,54.31,,,,,,,,34,6,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,205,0,0,72.2,7.8,,0,88.0,-1,-1,0.403,0.403,42,38,42,39,2,1,6,2,6,2,1.06,0.87,0.87,54.6,14.123051808479426,-5.51747239277396,37.55314388309913,30.11924129730546,25.63708476856147
SL,2025-08-04,87.1,-1.58,5.4,"Goldschmidt, Paul",502671,592351,strikeout,called_strike,,,,,8,Paul Goldschmidt called out on strikes.,R,R,R,TEX,NYY,S,2,,2,2,2025,0.01,0.27,-0.18165171325869164,1.5881284988520483,,,,2,8,Top,,,,,,,3.3563003006169287,-126.80795690673307,-3.554724309229011,-0.5940478665784263,25.510404931927383,-28.735272111055597,3.6116777687758,1.62685631450888,,,,87.4,2387,6.4,776871,641680,677649,543760,669701,608369,664059,694671,666969,54.09,,0,0,1,0,0,,68,5,Slider,4,5,5,4,5,4,5,4,Standard,Standard,160,0.01,-0.224,,,,0.224,,-1,1,0.298,0.702,33,37,34,38,3,4,6,1,7,1,2.73,-0.01,-0.01,27.4,,,,,
FF,2025-08-04,97.4,-1.37,5.98,"Pagés, Pedro",686780,607192,,foul,,,,,6,Foul,R,R,R,LAD,STL,S,,,0,1,2025,0,1.46,0.5301607533464596,2.301423072508886,,,691026,2,4,Top,,,,,,,5.230750888296597,-141.69363563455605,-7.9125077051399275,-1.1800889984091807,30.15269931858143,-10.867598335100539,3.31,1.63,200,85.1,12,99.8,2571,7.5,776870,669257,518692,500743,571970,605141,624424,681624,606192,53.01,,,,,,,,27,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,185,0.006,-0.055,71.7,6.0,,0.055,88.0,-1,1,0.408,0.5920000000000001,31,26,32,27,2,1,6,2,6,2,0.93,0,0,59.8,-8.98501436110153,25.574864026553247,33.629401879145846,43.07236408081329,13.93966668953438
CU,2025-08-04,80.8,1.78,5.96,"Kemp, Otto",805249,700249,,ball,,,,,14,Ball,R,R,L,PHI,BAL,B,,,1,2,2025,-0.88,-1.15,0.8172301627772198,1.0240792038979682,,,592663,2,4,Bot,,,,,,,-0.4676116519664518,-117.5634463634121,-2.041737413528735,-7.97237975894458,25.57056100041006,-42.544683973272754,3.39970897062356,1.45198738119211,,,,79.9,2629,6,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.51,,,,,,,,33,4,Curveball,3,3,3,3,3,3,3,3,Standard,Standard,319,0.004,0.033,,,,-0.033,,0,0,0.52,0.52,25,25,25,26,2,1,50,2,6,2,4.69,-0.88,0.88,39.4,,,,,
FC,2025-08-04,93,1.97,5.68,"Jung, Josh",673962,608331,,foul,,,,,14,Foul,R,R,L,TEX,NYY,S,,,2,2,2025,-0.11,0.87,0.14767170091811893,1.61333735987974,,,,2,3,Bot,,,,,,,-4.431505820946782,-135.3212505665952,-6.564259902594037,-0.4063794646879499,29.622571214945296,-20.191916452398544,3.77,1.76,294,89.1,35,92.9,2241,6.2,776871,669224,502671,665862,676609,683011,691176,641355,642708,54.27,,,,,,,,33,5,Cutter,4,3,4,3,3,4,4,3,Strategic,Standard,145,0,0,72.7,7.0,,0,89.1,1,1,0.632,0.632,31,27,31,27,2,1,6,5,6,2,1.76,-0.11,0.11,40.5,3.5387077193838428,12.194941108070973,43.02830727312931,35.09580036673345,26.172256001315358
ST,2025-08-04,81.3,-2.34,6.85,"McCutchen, Andrew",457705,434378,,ball,,,,,14,Ball,R,R,R,PIT,SF,B,,,2,2,2025,1.37,-0.19,2.139063476302457,1.4620660591446422,,,,1,4,Bot,,,,,,,7.3630399871968555,-118.07801285185491,-5.007180439934619,11.239363858605154,24.395824032365027,-33.089359839570164,3.47964231399042,1.70975567064598,,,,80.7,2710,6.2,776879,672275,646240,669477,656305,642715,671218,808982,687529,54.34,,,,,,,,34,5,Sweeper,1,2,1,2,2,1,1,2,Standard,Standard,50,0.008,0.104,,,,-0.104,,-1,-1,0.395,0.395,42,38,42,39,2,1,6,2,6,2,3.67,-1.37,-1.37,49.2,,,,,
FF,2025-08-04,93.1,-1.48,5.78,"Mauricio, Ronny",677595,677944,,foul,,,,,12,Foul,R,L,R,NYM,CLE,S,,,2,1,2025,-0.93,1.23,1.0124504761037276,3.0032305656601572,,656775,,0,5,Bot,,,,,,,8.478102113769179,-135.23944313440933,-4.002512512344762,-13.400507820423913,33.37980006515657,-16.421633589753046,3.92,1.84,134,63.2,64,93,2253,6.6,776876,595978,467793,677587,608070,672356,680757,682657,666134,53.87,,,,,,,,35,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,225,-0.011,-0.081,68.3,6.7,,0.081,88.0,0,0,0.651,0.651,26,24,26,24,2,1,7,2,6,4,1.44,0.93,-0.93,40.1,3.654612238500723,2.083077416952883,34.97826160279927,25.357186903249236,28.73994179832832
