team_code,pitch_count,school_name
BLI_JC,1558,
HIL_COL,1549,
ELI_BLU,1548,
BRY_COL,1547,
WOU_WOL,1540,
HOU,1537,
WES_TEX1,1537,
CHA_UNI1,1536,
UNI_IND,1534,
16U_CHA25,1530,
GUI_TEC,1519,
17U_CHA7,1462,
COA_(MS,1459,
IRV_VAL,1456,
ITA_ITA,1453,
14U_CHA16,1425,
16U_CHA33,1420,
17U_CHA16,1418,
OHI_DOM,1416,
HOW_PAY,1398,
SPA_MET,1395,
CUM_UNI,1380,
14U_CHA14,1372,
17U_CHA6,1352,
NOR_STA6,1345,
16U_CHA30,1344,
BLU_MOU,1343,
NOR_SPA,1327,
15U_CHA28,1315,
14U_CHA25,1304,
15U_CHA20,1304,
COL_STA2,1298,
LYO_COL,1298,
16U_CHA35,1294,
KEI_UNI,1292,
LUB_CHR,1291,
13U_CHA1,1290,
14U_CHA22,1290,
GRA_HAR,1288,
KAS_COL,1272,
STE_INS,1272,
13U_CHA3,1269,
16U_CHA29,1264,
HOW_HAW,1264,
13U_CHA13,1255,
14U_CHA23,1249,
NEO_NEO,1249,
14U_CHA21,1246,
UNI_PIT,1241,
14U_CHA20,1238,
WHA_JUC,1234,
MIS_DEL1,1233,
DRU_PAN,1231,
MOR_UNI,1230,
13U_CHA10,1226,
CUE_COL,1221,
SEW_COU,1220,
MUH_COL,1217,
RAN_COL,1214,
16U_CHA37,1212,
202_USA10,1212,
HOL_COM,1212,
17U_CHA14,1211,
AUG_UNI1,1211,
15U_CHA26,1210,
BLU_UNI,1210,
17U_CHA2,1206,
17U_CHA9,1202,
UNI_SAI1,1202,
MON_COL,1201,
14U_CHA27,1200,
BRA_UNI,1200,
EVE_COM,1198,
15U_CHA29,1197,
16U_CHA2,1196,
CON_UNI2,1196,
13U_CHA4,1195,
CAL_STA2,1190,
17U_CHA1,1184,
202_USA7,1183,
TRA_UNI,1183,
EAS_STR,1182,
MAR_UNI3,1180,
17U_CHA10,1176,
MAL_UNI,1176,
16U_CHA28,1172,
202_USA9,1172,
16U_CHA34,1167,
MAR_UNI,1165,
13U_CHA6,1154,
15U_CHA30,1153,
PIE_COL,1153,
14U_CHA26,1152,
PAL_SPR,1152,
BET_UNI2,1151,
13U_CHA14,1148,
16U_CHA27,1139,
LOU_COL,1139,
BRO_COL,1138,
14U_CHA13,1137,
17U_CHA13,1135,
EAS_NEW,1135,
16U_CHA21,1133,
16U_CHA14,1128,
17U_CHA3,1128,
17U_CHA8,1128,
14U_CHA19,1127,
202_USA8,1125,
13U_CHA2,1123,
SPR_ARB,1123,
CHE_COM,1122,
13U_CHA11,1120,
