pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-04-23,89.8,-1.64,6.08,"Brennan, Will",686823,607192,field_out,hit_into_play,,,,,9,"Will Brennan grounds out, second baseman Alex Freeland to first baseman Freddie Freeman.",R,L,R,SF,LAD,X,4,ground_ball,0,1,2026,0.28,-0.12,0.3666157031402276,2.0127420122009902,,,,2,8,Bot,154.29,158.68,,,,,4.406630190708807,-130.865824322786,-3.7098199665486415,2.3326554389621617,25.264676943811793,-33.06458385408296,3.156815945,1.593159449,3,86.9,-34,92,2791,7.4,823233,687221,518692,690976,571970,808975,606192,681624,663656,53.14,0.052,0.047,0,1,0,0,2,57,2,Slider,0,3,0,3,3,0,0,3,Standard,Standard,75,-0.008,-0.217,70.4,6.7,0.053,0.217,88.0,-3,-3,0.042,0.042,32,28,33,28,3,2,6,7,,,2.92,-0.28,0.28,53.2,1.6900295913605157,6.248458349002728,28.1184556021155,33.113070443904235,27.067442094772563
SI,2026-04-23,95.1,-1.34,6.08,"Brennan, Will",686823,607192,,called_strike,,,,,14,Called Strike,R,L,R,SF,LAD,S,,,0,0,2026,-0.81,1.06,0.8997179116414046,2.327647207907645,,,,2,8,Bot,,,,,,,7.825769594172442,-138.2539279180322,-6.554060093412819,-12.064862871009193,29.36023571728947,-17.252092149191153,3.156815945,1.593159449,,,,97.6,2498,7.7,823233,687221,518692,690976,571970,808975,606192,681624,663656,52.84,,,,,,,,57,1,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,190,-0.001,-0.043,,,,0.043,,-3,-3,0.043,0.043,32,28,33,28,3,2,6,7,,,1.45,0.81,-0.81,57.2,,,,,
KC,2026-04-23,80.2,-1.21,6.3,"Lee, Jung Hoo",808982,607192,field_out,hit_into_play,,,,,5,Jung Hoo Lee pops out to first baseman Freddie Freeman in foul territory.,R,L,R,SF,LAD,X,3,popup,0,1,2026,0.85,-1.01,0.06391247779170628,2.5562037964195925,,,,1,8,Bot,169.89,168.16,,,,,1.154939219534064,-116.74814780345788,0.6829234216653017,7.491272668135787,23.736734601434723,-41.736422824761284,3.22351542,1.626820866,135,73.4,63,81.4,2767,7.3,823233,687221,518692,690976,571970,808975,606192,681624,663656,53.21,0.003,0.004,0,1,0,0,3,56,2,Knuckle Curve,0,3,0,3,3,0,0,3,Standard,Standard,22,-0.014,-0.215,68.5,8.5,0.006,0.215,88.0,-3,-3,0.057,0.057,32,27,33,28,3,2,6,1,,1,4.58,-0.85,0.85,63.7,27.750567577431664,-23.50822906075926,30.810026989429474,31.1232731493517,48.36610894022259
KC,2026-04-23,78.3,-1.64,6.21,"Lee, Jung Hoo",808982,607192,,called_strike,,,,,13,Called Strike,R,L,R,SF,LAD,S,,,0,0,2026,0.41,-1.49,-0.957698049164797,2.3350406490831377,,,,1,8,Bot,,,,,,,0.6888317942641512,-113.98086285802506,1.63919550445597,3.4283599900931576,23.081397335467898,-45.60758027295939,3.22351542,1.626820866,,,,79.3,2710,7.2,823233,687221,518692,690976,571970,808975,606192,681624,663656,53.34,,,,,,,,56,1,Knuckle Curve,0,3,0,3,3,0,0,3,Standard,Standard,21,-0.003,-0.039,,,,0.039,,-3,-3,0.06,0.06,32,27,33,28,3,2,6,1,,1,5.23,-0.41,0.41,57.6,,,,,
FF,2026-04-23,94.6,-2.78,5.36,"Montgomery, Colson",695657,647336,field_out,hit_into_play,,,,,1,Colson Montgomery flies out to left fielder Jorge Barrosa.,R,L,R,AZ,CWS,X,7,fly_ball,2,2,2026,-0.77,1.1,-0.5845947471353233,2.9394283525638754,,678246,,2,5,Top,81.81,107.91,,,,,7.367516333937269,-137.4954385059635,-2.8747061468061146,-11.529503823775586,32.924014352981075,-17.884627621884544,3.340239501,1.685728347,287,83.8,32,93.7,2570,6,825096,605244,545121,606466,571448,672695,678489,677950,682998,54.51,0.023,0.025,0,1,0,0,3,37,8,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,233,0.039,-0.22,75.0,7.3,0.04,0.22,88.0,0,0,0.528,0.472,28,24,29,24,3,2,6,1,,1,1.47,0.77,-0.77,19.6,2.7767827271178263,13.291165696163612,28.050425457329982,43.37883772496053,17.471323601955582
SI,2026-04-23,95.7,-1.29,6.13,"Ramos, Heliot",671218,607192,strikeout,foul_tip,,,,,11,Heliot Ramos strikes out on a foul tip.,R,R,R,SF,LAD,S,2,,3,2,2026,-0.34,1.32,-0.35811064645718277,3.5566704564419616,,,,0,8,Bot,,,,,,,3.288072729076784,-139.4599475730409,-4.163656264383091,-5.209550861768845,29.73638163660653,-14.143723369844166,3.18402231,1.606889764,,,,98.2,2684,7.5,823233,687221,518692,690976,571970,808975,606192,681624,663656,53.01,,0,0,1,0,0,,55,7,Sinker,0,3,0,3,3,0,0,3,Infield shade,Standard,194,-0.035,-0.345,74.8,6.6,,0.345,,-3,-3,0.095,0.095,32,26,33,27,3,2,6,1,,1,1.15,0.34,0.34,60.0,16.256709341416094,-4.6629856591081555,23.51624081809282,34.17911430605309,26.626814646971674
FC,2026-04-23,89.7,-2.59,5.58,"Montgomery, Colson",695657,647336,,foul,,,,,6,Foul,R,L,R,AZ,CWS,S,,,2,2,2026,-0.1,0.7,0.8012324191927789,2.792446505636754,,678246,,2,5,Top,,,,,,,8.440969288558561,-130.5233637999087,-2.2391314169607233,-2.8410382405469297,25.880987690878783,-23.85337616069807,3.340239501,1.685728347,421,115.5,32,89.4,2695,6,825096,605244,545121,606466,571448,672695,678489,677950,682998,54.54,,,,,,,,37,7,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,210,0,0,81.2,8.3,,0,115.5,0,0,0.528,0.472,28,24,29,24,3,2,6,1,,1,2.12,0.1,-0.1,26.9,23.10311481117334,-27.25703923130438,34.958451422073324,28.935290182122458,39.745325947389816
CU,2026-04-23,84.6,-1.16,6.19,"Ramos, Heliot",671218,607192,,ball,,,,,14,Ball,R,R,R,SF,LAD,B,,,2,2,2026,0.11,-0.95,1.6267823556269718,-0.03108532741617509,,,,0,8,Bot,,,,,,,6.326168481095291,-123.09076911512517,-6.041501357281714,-0.1496536952314829,23.845107348055567,-40.90436513345094,3.18402231,1.606889764,,,,86.4,2821,7.4,823233,687221,518692,690976,571970,808975,606192,681624,663656,53.13,,,,,,,,55,6,Curveball,0,3,0,3,3,0,0,3,Infield shade,Standard,22,0.012,0.112,,,,-0.112,,-3,-3,0.083,0.083,32,26,33,27,3,2,6,1,,1,4.13,-0.11,-0.11,61.3,,,,,
SI,2026-04-23,97,-1.17,6.14,"Ramos, Heliot",671218,607192,,foul,,,,,3,Foul,R,R,R,SF,LAD,S,,,2,2,2026,-0.24,1.46,0.5283692969312603,3.162846817360524,,,,0,8,Bot,,,,,,,5.169662010277656,-140.98180411051825,-5.676958382620365,-4.530158997255537,36.00876960972264,-11.702798285850955,3.18402231,1.606889764,183,82.4,15,98.9,2442,7.7,823233,687221,518692,690976,571970,808975,606192,681624,663656,52.8,,,,,,,,55,5,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,188,0,0,64.8,5.8,,0,88.0,-3,-3,0.083,0.083,32,26,33,27,3,2,6,1,,1,1,0.24,0.24,58.2,-4.268889155203186,26.674721797844164,28.87136972236448,45.02306604534892,7.474284329521615
SI,2026-04-23,94.6,2.01,5.95,"Happ, Ian",664023,650911,single,hit_into_play,,,,,9,Ian Happ singles on a ground ball to shortstop Trea Turner.,R,R,L,CHC,PHI,X,6,ground_ball,1,1,2026,1.38,0.25,0.6975146983359151,1.7169068681074602,,,,1,6,Bot,115.04,148.98,,,,,-6.567697376692571,-137.60580703730903,-5.741840006987852,19.00830416924922,29.316534540109235,-27.949772633787543,3.136630577,1.582972441,10,91.4,-10,95.7,2223,6.9,824689,596117,547180,681082,664761,607208,694025,702222,669016,53.65,0.168,0.151,0.9,1,1,0,2,51,3,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,119,0.008,0.425,73.1,7.1,0.193,-0.425,91.4,3,3,0.904,0.904,29,31,30,32,4,3,5,1,,1,2.29,1.38,-1.38,30.0,-2.0489445624748783,2.4224559277917637,36.43181800745465,44.86538233190387,26.735440819163397
