"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2026-03-28","77.9","-3.09","5.17","Lawrence, Casey",676070,596271,"walk","ball",,,,,13,"Jacob Amaya walks.","R","R","R","RNO","TAC","B",,,3,2,2026,"0.84","0.45",-1.1249348067192102,2.1455159868755063,,,,0,6,"Bot",,,,,,,2.59059770449239,-113.61948745746676,-0.36553789009231075,6.955879911378816,17.71073722077525,-28.35535588927481,3.107668963,1.568356299,,,,"78.1",2586,"6",815174,640902,621550,801126,669717,806068,689070,689041,656582,"54.52",,0.705745,"0.7",1,0,0,,52,8,"Sweeper",4,2,4,2,2,4,4,2,"Standard","Standard",77,"0.017","0.386",,,,"-0.386",,2,2,"0.848","0.848",38,27,39,28,3,2,,,,,"3.24","-0.84","-0.84",,,,,,
"SI","2026-03-28","87.7","-2.77","5.32","Lawrence, Casey",676070,596271,,"foul",,,,,1,"Foul","R","R","R","RNO","TAC","S",,,3,2,2026,"-1.07","0.56",-0.35118986513663186,2.779600885050747,,,,0,6,"Bot",,,,,,,7.974024821704584,-127.7530888320742,-1.14666901098777,-13.203036192129943,20.78896240127008,-25.94376296086724,3.107668963,1.568356299,234,"72.7",48,"88",2205,"6",815174,640902,621550,801126,669717,806068,689070,689041,656582,"54.54",,,,,,,,52,7,"Sinker",4,2,4,2,2,4,4,2,"Standard","Standard",237,"0","0",,,,"0","88.0",2,2,"0.848","0.848",38,27,39,28,3,2,,,,,"2.35","1.07","1.07",,,,,,
"CH","2026-03-28","80.9","-2.98","5.25","Lawrence, Casey",676070,596271,,"foul",,,,,8,"Foul","R","R","R","RNO","TAC","S",,,3,2,2026,"-0.86","0.5",0.2190974922172907,1.7731983589782092,,,,0,6,"Bot",,,,,,,8.655305381382902,-117.69925725362344,-1.9806301300239015,-9.405735735538785,17.555933028783052,-27.34755669677894,3.107668963,1.568356299,215,"67.8",47,"81.1",1802,"6",815174,640902,621550,801126,669717,806068,689070,689041,656582,"54.52",,,,,,,,52,6,"Changeup",4,2,4,2,2,4,4,2,"Standard","Standard",254,"0","0",,,,"0","88.0",2,2,"0.848","0.848",38,27,39,28,3,2,,,,,"2.93","0.86","0.86",,,,,,
"SI","2026-03-28","86.9","-2.77","5.36","Lawrence, Casey",676070,596271,,"foul",,,,,4,"Foul","R","R","R","RNO","TAC","S",,,3,1,2026,"-1.03","0.4",-0.6988199868195888,2.544901461277116,,,,0,6,"Bot",,,,,,,6.964852365892545,-126.46238182678404,-1.2758175894422585,-12.347212507031077,22.369832221471487,-27.84355009305158,3.107668963,1.568356299,6,"89.2",-23,"86.7",2162,"5.8",815174,640902,621550,801126,669717,806068,689070,689041,656582,"54.66",,,,,,,,52,5,"Sinker",4,2,4,2,2,4,4,2,"Standard","Standard",240,"-0.005","-0.112",,,,"0.112","89.2",2,2,"0.853","0.853",38,27,39,28,3,2,,,,,"2.59","1.03","1.03",,,,,,
"SI","2026-03-28","86.4","-2.74","5.28","Lawrence, Casey",676070,596271,,"called_strike",,,,,4,"Called Strike","R","R","R","RNO","TAC","S",,,3,0,2026,"-0.99","0.54",-0.40183587026679546,2.2052742094948106,,,,0,6,"Bot",,,,,,,7.504987404229393,-125.71991801552504,-2.1258800559102946,-11.884859219043507,21.138795512877913,-26.162728645601565,3.107668963,1.568356299,,,,"86.5",2159,"6",815174,640902,621550,801126,669717,806068,689070,689041,656582,"54.51",,,,,,,,52,4,"Sinker",4,2,4,2,2,4,4,2,"Standard","Standard",238,"-0.004","-0.114",,,,"0.114",,2,2,"0.857","0.857",38,27,39,28,3,2,,,,,"2.47","0.99","0.99",,,,,,
"CU","2026-03-28","79.2","-1.89","6.11","Matthews, Zebby",682927,805673,"field_out","hit_into_play",,,,,13,"Ronny Simon grounds out, second baseman Ryan Kreidler to first baseman Eric Wagaman.","R","L","R","IND","STP","X",4,"ground_ball",1,1,2026,"0.79","-1.21",-0.08883213257533129,1.3764711101793772,675961,,,2,4,"Bot",147.89,161.5,,,,,2.3687240441819037,-115.15630075230675,-0.8358722797572931,6.3510762266985825,25.697769835127644,-42.84535417971375,3.010252625,1.519192913,19,"92",-4,"78.1",2482,"6",816603,681433,676572,668952,701785,606115,694224,691181,702176,"54.5",,,"0",,0,0,2,36,3,"Curveball",5,2,5,2,2,5,5,2,"Standard","Standard",48,"-0.019","-0.28",,,,"0.28","92.0",3,3,"0.855","0.855",26,26,26,26,3,2,,,,,"4.91","-0.79","0.79",,,,,,
"SI","2026-03-28","87","-2.81","5.37","Lawrence, Casey",676070,596271,,"ball",,,,,11,"Ball","R","R","R","RNO","TAC","B",,,2,0,2026,"-1.01","0.48",-0.16408506782558185,3.261686958476632,,,,0,6,"Bot",,,,,,,8.312319047310531,-126.58707728219284,0.21191721890282056,-12.392692430679514,21.74804884716631,-27.229047004536792,3.107668963,1.568356299,,,,"87.1",2145,"6",815174,640902,621550,801126,669717,806068,689070,689041,656582,"54.49",,,,,,,,52,3,"Sinker",4,2,4,2,2,4,4,2,"Standard","Standard",231,"0.006","0.177",,,,"-0.177",,2,2,"0.851","0.851",38,27,39,28,3,2,,,,,"2.5","1.01","1.01",,,,,,
"ST","2026-03-28","78.5","-3.07","5.24","Lawrence, Casey",676070,596271,,"ball",,,,,11,"Ball","R","R","R","RNO","TAC","B",,,1,0,2026,"0.53","0.57",-1.3547845248893216,2.404775803440218,,,,0,6,"Bot",,,,,,,2.6468947409014825,-114.54413052954312,-0.323907033390473,4.318757547491452,17.53872949565185,-27.240076036427162,3.107668963,1.568356299,,,,"78.6",2631,"5.8",815174,640902,621550,801126,669717,806068,689070,689041,656582,"54.65",,,,,,,,52,2,"Sweeper",4,2,4,2,2,4,4,2,"Standard","Standard",83,"0.004","0.105",,,,"-0.105",,2,2,"0.847","0.847",38,27,39,28,3,2,,,,,"3.06","-0.53","-0.53",,,,,,
"ST","2026-03-28","86.5","-1.38","5.63","McDougal, Tanner",694181,701780,"field_out","hit_into_play",,,,,7,"Carlos Colmenarez flies out to left fielder Sam Antonacci.","R","L","R","CLT","DUR","X",7,"fly_ball",2,1,2026,"0.03","0.28",-0.31867859971653584,1.973842224139689,,,666165,2,4,"Top",87.73,118.36,,,,,2.456664112246987,-125.94086889724122,-2.8442304533315252,-0.18778285339636555,27.447371040595158,-28.851025692339316,3.098015092,1.563484252,250,"94.8",53,"86.9",2496,"6.7",816900,691011,664774,703151,686554,695020,803011,687957,672284,"53.82",,,"0",,0,0,3,27,4,"Sweeper",0,1,1,0,1,0,1,0,"Standard","Standard",39,"0.026","-0.324",,,,"0.324","94.8",-1,1,"0.402","0.598",23,22,23,23,2,1,,,,,"2.78","-0.03","0.03",,,,,,
"FC","2026-03-28","91.7","-1.96","6","Matthews, Zebby",682927,805673,,"ball",,,,,11,"Ball","R","L","R","IND","STP","B",,,0,1,2026,"0.17","0.88",-0.8901007230695095,3.6499929404780618,675961,,,2,4,"Bot",,,,,,,2.304016576160449,-133.59458946005492,-1.821775666630706,1.5049634161616527,30.26918983583663,-21.51712438059719,3.010252625,1.519192913,,,,"91.5",2557,"6.2",816603,681433,676572,668952,701785,606115,694224,691181,702176,"54.27",,,,,,,,36,2,"Cutter",5,2,5,2,2,5,5,2,"Standard","Standard",197,"0.002","0.019",,,,"-0.019",,3,3,"0.853","0.853",26,26,26,26,3,2,,,,,"1.84","-0.17","0.17",,,,,,
