PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2026-05-28,09:46:22.43,"Piercey, Branden",1000557885,Right,,,,,,Fastball,Live,,66.62437,-0.1979258407,-3.203899898,1441.283074,,,5.9896,1.64145,5.54622,,,,1.75746,-0.90812,61.0092,,,0.576215107,-3.8253,8.34927,-1.36773,50,5.94079,5.27783,-96.73899,-1.57739,-3.59777,16.14974,-24.32139,2cf2ea8a-ab47-4298-9e8a-4c0fd1d738dd,2455fd7d-db7c-43d3-8113-6df77a2338ad,65.41383,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,5c0cd725-eb78-42b6-8c32-0c3e703f98ef,d1114d11-9816-487e-baa9-2e8b7f800fd4
2,2026-05-28,09:46:36.67,"Piercey, Branden",1000557885,Right,,,,,,Fastball,Live,,67.62771,-2.622350459,-4.079264734,1643.17484,204.2673173,12:45,5.90175,1.53688,5.61793,,,,,,,,,,-5.40074,10.15792,-1.19389,50,5.64937,6.7878,-98.06119,-5.64298,-5.25712,15.5528,-22.28627,6c20c723-b981-4c2d-8cf0-1a67b65bacde,2455fd7d-db7c-43d3-8113-6df77a2338ad,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,8f6db319-f5dc-4c9a-858c-6b47aa402dbb,d1114d11-9816-487e-baa9-2e8b7f800fd4
3,2026-05-28,09:46:52.86,"Piercey, Branden",1000557885,Right,,,,,,Fastball,Live,,68.29256,0.4949697091,-3.502752023,1572.610742,221.7825809,1:30,5.79093,1.858,5.41171,-46.22975,15.18822,13.64873,2.40298,-0.28981,62.22075,-8.112653282,-0.9490041722,0.564052012,-8.31262,7.91951,-1.55596,50,5.80333,5.70045,-99.09794,-0.37999,-8.19608,17.0908,-24.36556,d5a20ac2-22d3-4ad7-bdcd-c272fac9f616,2455fd7d-db7c-43d3-8113-6df77a2338ad,66.8244,Pitching,23360159,,,,,,,,,,,,,,,,,,,,0.535571658,1572.542038,0.9999563125,,5da50133-d877-4140-8122-97347e5b9a89,d1114d11-9816-487e-baa9-2e8b7f800fd4
4,2026-05-28,09:47:06.69,"Piercey, Branden",1000557885,Right,,,,,,ChangeUp,Live,,62.48188,0.1766124355,-4.377551737,1418.264376,230.0190207,1:45,5.48533,2.21977,,-64.61804,10.93077,13.15271,0.26881,-0.85193,57.58211,-11.58477646,-1.957181892,0.6255834027,-8.08475,5.59514,-1.78279,50,5.44629,6.56516,-90.47715,-1.49394,-6.6644,13.88662,-27.56188,fdf98a49-0944-4527-8b8c-740f3f1db3ea,2455fd7d-db7c-43d3-8113-6df77a2338ad,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,21.85814291,1316.303209,0.9281084903,,2c7f0006-fd30-4634-adc3-bdbec8dc91e7,d1114d11-9816-487e-baa9-2e8b7f800fd4
5,2026-05-28,09:47:20.46,"Piercey, Branden",1000557885,Right,,,,,,ChangeUp,Live,,63.53535,2.269619779,-5.580480685,1449.993752,245.6947402,2:15,5.37498,2.25863,4.93317,-66.88279,5.88403,13.32938,1.95772,-1.9213,58.05455,-10.02506393,-3.118817236,0.6139572328,-8.64425,2.38766,-1.72557,50,5.54277,8.61299,-91.79113,1.87079,-7.31769,14.57483,-30.1528,e50ace9f-3cab-4f72-bc43-c3168f95cb51,2455fd7d-db7c-43d3-8113-6df77a2338ad,61.39261,Pitching,23360159,,,,,,,,,,,,,,,,,,,,0.2003725275,1449.984886,0.9999938849,,39ef221e-6913-456d-8238-537d0234a9d0,d1114d11-9816-487e-baa9-2e8b7f800fd4
6,2026-05-28,09:47:36.80,"Piercey, Branden",1000557885,Right,,,,,,ChangeUp,Live,,62.73072,3.471514468,-4.176994338,1407.112803,245.0823206,2:15,5.19871,2.70725,4.91538,-68.78632,5.83969,12.837,2.76121,-0.17888,57.11479,-9.213088184,-1.798250815,0.6217510241,-7.97536,1.98935,-2.30987,50,5.48268,6.28577,-90.71089,3.70096,-6.58523,14.38724,-30.53145,ebc01d31-5def-4d8c-be83-f721db8a9257,2455fd7d-db7c-43d3-8113-6df77a2338ad,60.62304,Pitching,23360159,,,,,,,,,,,,,,,,,,,,-1.748162666,1406.45789,0.9995345696,,349aed71-dfc3-400d-9e15-b81b31009c8d,d1114d11-9816-487e-baa9-2e8b7f800fd4
7,2026-05-28,09:47:48.31,"Piercey, Branden",1000557885,Right,,,,,,Fastball,Live,,67.99661,1.103660355,-3.378213432,1677.29155,204.2804481,12:45,5.84359,1.62777,5.5663,-41.54737,20.00583,9.06664,3.41408,-0.77567,61.81463,-6.667164779,-1.678192991,0.5646726202,-5.86072,10.35348,-1.34248,50,5.91189,5.59018,-98.69685,0.82398,-5.73507,16.87149,-22.04253,f9ed6984-8522-4970-918a-c35800263bfb,2455fd7d-db7c-43d3-8113-6df77a2338ad,66.75096,Pitching,23360159,,,,,,,,,,,,,,,,,,,,0.2498444436,1677.275603,0.9999904926,,6563362f-ee19-424a-9a9a-6409dc8f47ed,d1114d11-9816-487e-baa9-2e8b7f800fd4
8,2026-05-28,09:47:59.76,"Piercey, Branden",1000557885,Right,,,,,,Slider,Live,,58.67601,1.404152128,-5.204546852,1697.081863,99.22923406,9:15,5.46313,2.45532,5.70701,,,,,,,,,,3.93989,0.43357,-2.0125,50,5.53132,7.96361,-84.94169,0.31922,2.83966,13.09979,-31.86156,733cc5b9-5e22-4a94-9262-716951b7cdae,2455fd7d-db7c-43d3-8113-6df77a2338ad,,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,e5f10723-d593-4a60-94fe-9a51b79e3ae1,d1114d11-9816-487e-baa9-2e8b7f800fd4
9,2026-05-28,09:48:15.39,"Piercey, Branden",1000557885,Right,,,,,,Slider,Live,,60.77292,3.626980156,-3.046278355,1628.487718,91.7132181,9:00,5.42985,2.3421,5.35269,-78.11083,0.22345,-8.67308,2.3312,-1.24001,55.62865,-10.85659659,-4.666800761,0.6370116059,3.63613,-1.03627,-2.06221,50,5.70217,4.89102,-88.01002,3.71944,2.81317,14.0761,-32.97578,ead8b7ff-2f04-4823-b8a0-a8c2892e4d30,2455fd7d-db7c-43d3-8113-6df77a2338ad,59.17073,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,a2cef038-7692-42d6-ac80-68eab047ca9b,d1114d11-9816-487e-baa9-2e8b7f800fd4
10,2026-05-28,09:48:29.96,"Piercey, Branden",1000557885,Right,,,,,,Fastball,Live,,67.84518,-0.7462437288,-4.121828092,1653.007475,213.4533809,1:00,5.75893,1.87561,5.76166,-43.18025,18.13137,12.03614,1.46427,-0.96385,62.11822,-8.804517032,-1.861862717,0.5635634445,-7.68237,9.96629,-1.5415,50,5.67105,6.79224,-98.45332,-2.3716,-7.49955,16.42201,-22.44493,fc3ed0a6-1c2b-4f55-92a9-4afc82a9e45f,2455fd7d-db7c-43d3-8113-6df77a2338ad,66.88233,Pitching,23360159,,,,,,,,,,,,,,,,,,,,,,,,07397137-7c6b-4ac7-a555-1cc0197ba5f6,d1114d11-9816-487e-baa9-2e8b7f800fd4
