Time (Unix ms),Phase,Device Id,Position Id,Phase Name,Capture Phase Id,Record Id,Fx,Fy,Fz,Mx,My,Mz,COPx,COPy
1781892012367,1,12.00000015,Lower Delivery,Loading,pitch.0,569312,-0.1889,1.3943,1.0729,-0.0698,-1.052,-1.1397,0.0,0.0
1781892012368,1,12.00000015,Lower Delivery,Loading,pitch.0,569313,-0.1809,1.3885,1.0863,-0.1868,-1.0208,-1.1347,0.0,0.0
1781892012369,1,12.00000015,Lower Delivery,Loading,pitch.0,569314,-0.2057,1.3557,1.1353,-0.0696,-0.9025,-1.0674,0.0,0.0
1781892012370,1,12.00000015,Lower Delivery,Loading,pitch.0,569315,-0.214,1.3598,1.1724,-0.2697,-1.0432,-1.0686,0.0,0.0
1781892012371,1,12.00000015,Lower Delivery,Loading,pitch.0,569316,-0.1974,1.3533,1.1645,-0.3454,-1.0219,-1.0399,0.0,0.0
1781892012372,1,12.00000015,Lower Delivery,Loading,pitch.0,569317,-0.2061,1.3418,1.1829,-0.2195,-1.0701,-1.0717,0.0,0.0
1781892012373,1,12.00000015,Lower Delivery,Loading,pitch.0,569318,-0.1599,1.3663,1.14,-0.1885,-1.0238,-1.048,0.0,0.0
1781892012374,1,12.00000015,Lower Delivery,Loading,pitch.0,569319,-0.1416,1.3579,1.128,-0.2546,-0.9715,-1.0586,0.0,0.0
1781892012375,1,12.00000015,Lower Delivery,Loading,pitch.0,569320,-0.1609,1.3512,1.0964,-0.3617,-0.969,-1.0183,0.0,0.0
1781892012376,1,12.00000015,Lower Delivery,Loading,pitch.0,569321,-0.1418,1.35,1.0936,-0.3269,-0.9662,-1.0335,0.0,0.0
1781892012377,1,12.00000015,Lower Delivery,Loading,pitch.0,569322,-0.1121,1.3438,1.0815,-0.3517,-0.962,-0.9766,0.0,0.0
1781892012378,1,12.00000015,Lower Delivery,Loading,pitch.0,569323,-0.099,1.3277,1.0829,-0.3022,-0.9821,-0.972,0.0,0.0
1781892012379,1,12.00000015,Lower Delivery,Loading,pitch.0,569324,-0.1155,1.3351,1.1033,0.1263,-0.97,-0.9693,0.0,0.0
1781892012380,1,12.00000015,Lower Delivery,Loading,pitch.0,569325,-0.1129,1.3467,1.1439,0.1329,-1.1174,-1.0167,0.0,0.0
1781892012381,1,12.00000015,Lower Delivery,Loading,pitch.0,569326,-0.1112,1.3317,1.151,0.1339,-0.972,-1.0515,0.0,0.0
1781892012382,1,12.00000015,Lower Delivery,Loading,pitch.0,569327,-0.1262,1.3248,1.0851,-0.1999,-0.9949,-1.0104,0.0,0.0
1781892012383,1,12.00000015,Lower Delivery,Loading,pitch.0,569328,-0.1224,1.3493,1.0906,-0.1241,-1.1648,-1.0568,0.0,0.0
1781892012384,1,12.00000015,Lower Delivery,Loading,pitch.0,569329,-0.1328,1.3479,1.1125,0.1063,-1.2189,-1.0753,0.0,0.0
1781892012385,1,12.00000015,Lower Delivery,Loading,pitch.0,569330,-0.1272,1.3668,1.0935,0.0621,-1.2646,-1.1039,0.0,0.0
1781892012386,1,12.00000015,Lower Delivery,Loading,pitch.0,569331,-0.1268,1.3688,1.0452,-0.0254,-1.18,-1.0728,0.0,0.0
1781892012387,1,12.00000015,Lower Delivery,Loading,pitch.0,569332,-0.1367,1.3871,1.0456,-0.0021,-1.1656,-1.107,0.0,0.0
1781892012388,1,12.00000015,Lower Delivery,Loading,pitch.0,569333,-0.1089,1.3971,1.0146,0.1144,-1.2424,-1.1913,0.0,0.0
1781892012389,1,12.00000015,Lower Delivery,Loading,pitch.0,569334,-0.0931,1.4353,0.9889,-0.0071,-1.1939,-1.1806,0.0,0.0
1781892012390,1,12.00000015,Lower Delivery,Loading,pitch.0,569335,-0.092,1.4263,0.9944,-0.0765,-1.1582,-1.2229,0.0,0.0
1781892012391,1,12.00000015,Lower Delivery,Loading,pitch.0,569336,-0.0672,1.3887,0.9632,-0.2399,-1.2939,-1.1761,0.0,0.0
1781892012392,1,12.00000015,Lower Delivery,Loading,pitch.0,569337,-0.078,1.4135,0.9852,-0.2183,-1.274,-1.2532,0.0,0.0
1781892012393,1,12.00000015,Lower Delivery,Loading,pitch.0,569338,-0.0811,1.3801,0.9738,0.0678,-1.2835,-1.2222,0.0,0.0
1781892012394,1,12.00000015,Lower Delivery,Loading,pitch.0,569339,-0.0924,1.3565,0.997,0.0331,-1.1379,-1.2459,0.0,0.0
1781892012395,1,12.00000015,Lower Delivery,Loading,pitch.0,569340,-0.0853,1.3399,0.9909,-0.2641,-1.1747,-1.2721,0.0,0.0
1781892012396,1,12.00000015,Lower Delivery,Loading,pitch.0,569341,-0.0685,1.3542,0.9838,-0.4379,-1.137,-1.2556,0.0,0.0
1781892012397,1,12.00000015,Lower Delivery,Loading,pitch.0,569342,-0.0667,1.3624,0.9943,-0.3316,-1.1633,-1.2381,0.0,0.0
1781892012398,1,12.00000015,Lower Delivery,Loading,pitch.0,569343,-0.0756,1.3663,0.9607,-0.3532,-1.1964,-1.1702,0.0,0.0
1781892012399,1,12.00000015,Lower Delivery,Loading,pitch.0,569344,-0.0809,1.3597,0.9464,-0.3541,-1.165,-1.1869,0.0,0.0
1781892012400,1,12.00000015,Lower Delivery,Loading,pitch.0,569345,-0.0895,1.3702,0.9272,-0.2855,-1.2468,-1.189,0.0,0.0
1781892012401,1,12.00000015,Lower Delivery,Loading,pitch.0,569346,-0.1305,1.3997,0.9228,-0.2365,-1.2105,-1.0751,0.0,0.0
1781892012402,1,12.00000015,Lower Delivery,Loading,pitch.0,569347,-0.146,1.4202,0.9454,-0.2374,-1.0917,-1.0159,0.0,0.0
1781892012403,1,12.00000015,Lower Delivery,Loading,pitch.0,569348,-0.1218,1.4593,0.9054,-0.3697,-1.1144,-1.0921,0.0,0.0
1781892012404,1,12.00000015,Lower Delivery,Loading,pitch.0,569349,-0.1702,1.474,0.9239,-0.5156,-1.2652,-1.0932,0.0,0.0
1781892012405,1,12.00000015,Lower Delivery,Loading,pitch.0,569350,-0.1573,1.4888,0.9353,-0.3316,-1.417,-1.0822,0.0,0.0
1781892012406,1,12.00000015,Lower Delivery,Loading,pitch.0,569352,-0.161,1.4861,0.9479,-0.4316,-1.3587,-1.1548,0.0,0.0
1781892012406,1,12.00000015,Lower Delivery,Loading,pitch.0,569351,-0.1633,1.4914,0.9519,-0.34,-1.3156,-1.1055,0.0,0.0
1781892012407,1,12.00000015,Lower Delivery,Loading,pitch.0,569353,-0.1542,1.4856,0.9323,-0.4707,-1.2602,-1.1567,0.0,0.0
1781892012408,1,12.00000015,Lower Delivery,Loading,pitch.0,569354,-0.1204,1.4597,0.9799,-0.4175,-1.1268,-1.1458,0.0,0.0
1781892012409,1,12.00000015,Lower Delivery,Loading,pitch.0,569355,-0.0867,1.4714,0.9658,-0.3923,-1.2682,-1.1514,0.0,0.0
1781892012410,1,12.00000015,Lower Delivery,Loading,pitch.0,569356,-0.0919,1.4961,0.9706,-0.5115,-1.5146,-1.1982,0.0,0.0
1781892012412,1,12.00000015,Lower Delivery,Loading,pitch.0,569358,-0.0796,1.4767,0.9723,-0.5284,-1.7567,-1.2165,0.0,0.0
1781892012412,1,12.00000015,Lower Delivery,Loading,pitch.0,569357,-0.075,1.4805,0.9892,-0.4107,-1.6498,-1.18,0.0,0.0
1781892012413,1,12.00000015,Lower Delivery,Loading,pitch.0,569359,-0.0629,1.4873,0.9843,-0.4866,-2.0287,-1.2395,0.0,0.0
1781892012414,1,12.00000015,Lower Delivery,Loading,pitch.0,569360,-0.0429,1.48,0.9903,-0.5223,-2.1571,-1.2711,0.0,0.0
1781892012415,1,12.00000015,Lower Delivery,Loading,pitch.0,569361,-0.0513,1.4822,0.9265,-0.7067,-2.0983,-1.3,0.0,0.0
1781892012416,1,12.00000015,Lower Delivery,Loading,pitch.0,569362,-0.0686,1.4626,0.9494,-0.6021,-1.992,-1.2407,0.0,0.0
